Lun. 22 Dicembre|Alle ore 19:30, presso il pub <a href="http://maps.google.it/maps?f=q&hl=it&geocode=&q=via+gorizia,+11+-+brescia&sll=45.932813,10.242779&sspn=0.015521,0.035791&g=via+gorizia,+11+-+brescia&ie=UTF8&ll=45.547822,10.212436&spn=0.007814,0.017896&t=h&z=16&iwloc=addr">La Taerna</a>, ci si ritrova per lo scambio degli auguri. L'incontro &egrave; aperto a tutti.
Sab. 14 Giugno|Alle ore 20:30, presso la <a href="http://maps.google.it/maps?f=q&hl=it&geocode=&q=piazza+caduti+borno&sll=45.932813,10.242779&sspn=0.015461,0.037422&ie=UTF8&ll=45.946599,10.205719&spn=0.007729,0.018711&t=h&z=16">sala congressi di Borno</a>, il circolo culturale <a href="http://www.lagazza.it/">La Gazza</a> organizza una serata dedicata all'open source. Tutti i dettagli nella <a href="http://www.lagazza.it/download/linux.jpg">locandina</a>. 
Mar. 10 Giugno|Alle ore 20:30, presso l'auditorium della scuola Bettinzoli-Pascoli, si svolge l'incontro dal titolo <a href="/attivita/eventi_locali/Locandina_Incontri_Bettinzoli_Giugno_2008.pdf">Dimostrazione e utilizzo del sistema operativo Linux</a>. L'evento &egrave; gratuito e aperto a tutti.
Mar. 03 Giugno|Alle ore 20:30, presso l'auditorium della scuola Bettinzoli-Pascoli, si svolge l'incontro dal titolo <a href="/attivita/eventi_locali/Locandina_Incontri_Bettinzoli_Giugno_2008.pdf">Introduzione al software libero e al suo utilizzo in ambiente scolastico</a>. L'evento &egrave; gratuito e aperto a tutti.
Ven. 30 Maggio|Alle ore 15:30, presso l'<a href="http://maps.google.it/maps?q=Via%20C.%20Golgi%20n.%201%2C%20artogne&ie=UTF-8&oe=utf-8&rls=com.ubuntu:en-US:official&client=firefox-a&um=1&sa=N&tab=wl">Istituto Comprensivo F.lli Rosselli di Artogne</a>, si svolge l'incontro, gratuito e aperto a tutti, dal titolo <a href="/attivita/eventi_locali/Locandina_Artogne_30052008.pdf">Software libero nella didattica: opportunit&agrave; ed esperienze</a>, organizzato dall'assessorato alla cultura del Comune di Artogne, con il LUG e il locale Istituto Comprensivo. Per i dettagli si pu&ograve; consultare <a href="http://didattica.lugbs.linux.it/viewtopic.php?id=26">Didattica</a>, oppure scrivere a <a href="mailto:scuola@lugbs.linux.it">scuola@lugbs.linux.it</a>. Chi volesse salire in gruppo da Brescia, pu&ograve; scrivere a <a href="mailto:luisa.ravelli@lugbs.linux.it">Luisa</a>.
Ven. 18 Aprile|Il Lug &egrave; invitato presso il liceo scientifico <a href="http://www.liceocopernico.brescia.it/">Nicol&ograve; Copernico</a> per un'introduzione, della durata di due mattine, al software libero. La partecipazione &egrave; limitata ai soli studenti dell'istituto. Tutti i dettagli su <a href="http://didattica.lugbs.linux.it/viewtopic.php?id=22">Didattica</a>.
Gio. 17 Aprile|Alle ore 21:00, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, ci si ritrova per la programmazione delle attivit&agrave; future.
Mar. 05 Marzo|Viene pubblicato il <a href="http://lugbs.linux.it/pipermail/lug/2008-March/023589.html">resoconto</a> della riunione della sera precedente.
Mar. 04 Marzo|Alle ore 21:00, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, ci si ritrova per la programmazione delle attivit&agrave; future.
Sab. 16 Febbraio|L'<a href="http://ml.lugbs.linux.it/">archivio</a> della mailing list viene ulteriormente ripulito da spam et similia.
Ven. 15 Febbraio|Viene sostituito pota.lugbs.linux.it con temporaneo.lugbs.linux.it.
Ven. 08 Febbraio|Alle ore 20:30 presso la <a href="http://maps.google.it/maps?q=via+Galliano+10,+Manerbio" title="Ubicazione Scuola Primaria Statale Manerbio" target="_blank">Scuola Primaria Statale di Manerbio</a> ha luogo l&#8217;inaugurazione del nuovo laboratorio scolastico, realizzato con <a href="http://www.eduknoppix.org/">EduKnoppix</a>. L'incontro &egrave; gratuito e aperto a tutti. Per maggiori informazioni si pu&ograve; vedere la <a href="/attivita/eventi_locali/InaugurazioneScuolaManerbio.pdf">locandina</a> dell'evento, oppure contattare <a href="mailto:andrea.gelmini@lugbs.linux.it">Andrea Gelmini</a> al 328/7296628.
Ven. 08 Febbraio|Viene attivato il forum di discussione <a href="http://didattica.lugbs.linux.it/">http://didattica.lugbs.linux.it</a>. Per maggiori informazioni si veda <a href="http://didattica.lugbs.linux.it/viewtopic.php?id=1">questo post</a>.
Mar. 05 Febbraio|Viene ripristinato il servizio di sviluppo collaborativo dell'infrastruttura del Lug, all'indirizzo <a href="http://git.lugbs.linux.it/">http://git.lugbs.linux.it</a>.
Mer. 16 Gennaio|Un <a href="http://lugbs.linux.it/pipermail/lug/2008-January/023460.html">sunto</a> della riunione del 15 Gennaio &egrave; disponibile nella <a href="attivita/mailing_list/">mailing list principale.</a>
Mar. 15 Gennaio|Alle ore 21:00, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, ci si ritrova per la programmazione delle attivit&agrave; future.
Lun. 01 Gen.|L'archivio degli eventi per l'anno 2008 &egrave; disponibile nella sezione <a href="/novita/diario/2008/">Diario</a>.
